duration_sum,duration_count,type_day,hs_day,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,mean_hs_dayType
61 days 15:15:00.999999910,2079,WEND,1479.25,22.2,17.5,,,,,,,,,0.7115199615199616
46 days 04:03:17.999999935,2492,LNPH,1108.0547222222222,25.4,18.6,,,,,,,,,0.4446447520955948
29 days 00:02:28.999999954,1585,LPH,696.0411111111111,25.4,18.6,,,,,,,,,0.43914265685243603
55 days 07:18:23.999999937,2962,LNPH,1327.306388888889,26.1,16.9,33.0,,,,,,,,0.44811154250131296
34 days 06:31:08.999999976,1890,LPH,822.5188888888889,26.1,16.9,33.0,,,,,,,,0.4351951793062904
49 days 11:50:55.999999949,2804,LNPH,1187.848611111111,29.2,22.2,,,,,,,,,0.4236264661594547
30 days 18:04:37.999999963,1739,LPH,738.0769444444444,29.2,22.2,,,,,,,,,0.42442607501118135
31 days 09:10:56.999999938,1833,LNPH,753.1822222222222,24.8,,36.7,,,,,,,,0.410901376007759
24 days 06:21:01.999999951,1532,LPH,582.3502777777778,24.8,,36.7,,,,,,,,0.3801242022048158
102 days 13:36:21.999999872,3728,WEND,2461.6058333333335,21.1,15.8,,,,,,,,,0.6603019939198856
92 days 09:34:14.999999859,3185,WEND,2217.5705555555555,25.1,18.7,,,,,,,,,0.6962544915402058
48 days 17:53:24.999999944,2546,LNPH,1169.89,27.9,22.9,33.0,,,,,,,,0.4595011783189317
25 days 19:36:05.999999979,1472,LPH,619.6013888888889,27.9,22.9,33.0,,,,,,,,0.4209248565821256
50 days 03:47:22.999999938,2596,LNPH,1203.7894444444444,27.3,23.9,33.0,,,,,,,,0.4637093391542544
27 days 07:57:04.999999979,1487,LPH,655.9511111111111,27.3,23.9,33.0,,,,,,,,0.44112381379361876
47 days 11:24:00.999999939,2438,LNPH,1139.4,28.0,24.0,,,,,,,,,0.4673502871205907
25 days 08:46:59.999999972,1481,LPH,608.7830555555555,28.0,24.0,,,,,,,,,0.4110621577012529
42 days 22:55:16.999999946,2287,LNPH,1030.921111111111,31.0,26.2,,,,,,,,,0.45077442549676916
23 days 15:34:32.999999977,1364,LPH,567.5755555555555,31.0,26.2,,,,,,,,,0.4161111111111111
47 days 17:57:15.999999934,2609,LNPH,1145.9541666666667,30.0,27.7,37.0,,,,,,,,0.4392311869170819
26 days 09:03:23.999999979,1503,LPH,633.0563888888889,30.0,27.7,37.0,,,,,,,,0.4211952021882162
59 days 22:52:32.999999926,2474,WEND,1438.8755555555556,26.0,22.7,33.5,,,,,,,,0.581598850264978
35 days 21:38:00.999999948,1593,WEND,861.6333333333333,19.2,16.5,30.5,15.0,,,,,,,0.5408872148985143
45 days 03:30:04.999999938,2297,LNPH,1083.5011111111112,20.6,15.8,,1.0,,,,,,,0.4717027040100615
25 days 06:47:58.999999952,1354,LPH,606.7994444444445,20.6,15.8,,1.0,,,,,,,0.4481532086000328
49 days 17:33:42.999999918,2527,LNPH,1193.5616666666667,24.4,18.6,,0.0,,,,,,,0.47232357208811504
25 days 12:39:56.999999961,1413,LPH,612.6655555555556,24.4,18.6,,0.0,,,,,,,0.43359204214830543
47 days 01:32:06.999999939,2535,LNPH,1129.535,25.4,23.5,30.0,,,,,,,,0.44557593688362923
27 days 23:38:17.999999956,1561,LPH,671.6380555555555,25.4,23.5,30.0,,,,,,,,0.4302614065058011
54 days 02:06:08.999999934,2876,LNPH,1298.1022222222223,25.1,19.3,,0.0,,,,,,,0.4513568227476433
32 days 06:31:32.999999971,1787,LPH,774.5255555555556,25.1,19.3,,0.0,,,,,,,0.43342224709320404
58 days 12:40:16.999999935,3064,LNPH,1404.671111111111,27.4,20.7,33.2,1.0,,,,,,,0.45844357412242526
31 days 07:14:35.999999968,1764,LPH,751.2430555555555,27.4,20.7,33.2,1.0,,,,,,,0.4258747480473671
88 days 22:43:54.999999909,3319,WEND,2134.7316666666666,26.4,21.0,34.7,0.0,,,,,,,0.6431851963442804
87 days 02:48:05.999999885,3011,WEND,2090.801388888889,28.2,25.2,33.4,,,,,,,,0.6943877080335068
47 days 02:27:25.999999941,2588,LNPH,1130.4569444444444,26.8,23.0,33.3,,,,,,,,0.43680716555040355
27 days 09:43:00.999999965,1570,LPH,657.7166666666667,26.8,23.0,33.3,,,,,,,,0.418927813163482
43 days 18:08:40.999999936,2397,LNPH,1050.1444444444444,27.7,23.6,,0.8,,,,,,,0.4381078199601353
29 days 00:53:03.999999967,1607,LPH,696.8841666666667,27.7,23.6,,0.8,,,,,,,0.4336553619581
47 days 15:48:43.999999943,2545,LNPH,1143.8119444444444,23.3,18.4,36.0,6.1,,,,,,,0.4494349487011569
28 days 05:02:35.999999955,1564,LPH,677.0430555555556,23.3,18.4,36.0,6.1,,,,,,,0.43289197925547035
51 days 23:47:47.999999934,2727,LNPH,1247.796388888889,20.2,14.8,26.2,0.0,,,,,,,0.4575710997025629
28 days 18:37:49.999999956,1598,LPH,690.6302777777778,20.2,14.8,26.2,0.0,,,,,,,0.43218415380336533
54 days 19:35:00.999999932,2879,LNPH,1315.5833333333333,23.6,19.1,,0.0,,,,,,,0.456958434641658
29 days 00:21:30.999999955,1588,LPH,696.3583333333333,23.6,19.1,,0.0,,,,,,,0.4385128043660789
93 days 04:43:12.999999887,3544,WEND,2236.72,25.4,22.1,29.5,0.0,,,,,,,0.6311286681715575
89 days 01:48:00.999999887,3066,WEND,2137.8,26.2,21.0,,0.0,,,,,,,0.6972602739726028
51 days 23:24:23.999999927,2768,LNPH,1247.4063888888888,24.9,21.0,32.6,,,,,,,,0.4506525971419396
31 days 12:34:17.999999973,1744,LPH,756.5713888888889,24.9,21.0,32.6,,,,,,,,0.43381386977573905
56 days 00:57:53.999999926,3009,LNPH,1344.9647222222222,25.4,20.7,,,,,,,,,0.44698063217754147
27 days 16:06:27.999999979,1509,LPH,664.1075,25.4,20.7,,,,,,,,,0.44009774685222
62 days 11:15:11.999999945,3413,LNPH,1499.2530555555556,27.7,22.2,32.6,,,,,,,,0.43927719178305175
35 days 03:59:20.999999967,2013,LPH,843.9888888888889,27.7,22.2,32.6,,,,,,,,0.4192691946790308
54 days 23:59:28.999999935,2985,LNPH,1319.9911111111112,27.2,21.9,32.5,,,,,,,,0.44220807742415785
32 days 02:59:20.999999943,1833,LPH,770.9888888888889,27.2,21.9,32.5,,,,,,,,0.4206158695520398
67 days 16:53:56.999999936,3680,LNPH,1624.898888888889,28.1,23.7,,,,,,,,,0.4415486111111111
